laptop_time_iso,esp_ms,ax,ay,az,motion,avg_motion_10s,state
2026-03-14T02:08:14.089562,1101873,-816,724,16636,151.23,167.99,RUNNING
2026-03-14T02:08:14.190058,1101973,-968,728,16900,172.90,167.99,RUNNING
2026-03-14T02:08:14.289579,1102073,-848,780,16772,165.51,167.99,RUNNING
2026-03-14T02:08:14.389518,1102173,-632,740,16520,183.04,167.99,RUNNING
2026-03-14T02:08:14.489796,1102273,-536,688,16508,153.26,167.99,RUNNING
2026-03-14T02:08:14.589920,1102373,-1032,684,16828,187.32,167.99,RUNNING
2026-03-14T02:08:14.689659,1102473,-376,784,16632,192.98,167.99,RUNNING
2026-03-14T02:08:14.790082,1102573,-432,508,16396,202.37,167.99,RUNNING
2026-03-14T02:08:14.889338,1102673,-348,712,16480,182.05,167.99,RUNNING
2026-03-14T02:08:14.989624,1102773,-740,804,16496,155.24,167.99,RUNNING
2026-03-14T02:08:15.089728,1102873,-652,828,16580,141.93,167.99,RUNNING
2026-03-14T02:08:15.189548,1102973,-612,744,16528,126.72,167.99,RUNNING
2026-03-14T02:08:15.289661,1103073,-736,776,16724,140.29,167.99,RUNNING
2026-03-14T02:08:15.389462,1103173,-448,708,16364,182.13,167.99,RUNNING
2026-03-14T02:08:15.506036,1103273,-116,736,16316,158.78,167.99,RUNNING
2026-03-14T02:08:15.589498,1103373,-736,780,16724,206.76,167.99,RUNNING
2026-03-14T02:08:15.689683,1103473,-1044,944,16656,177.28,167.99,RUNNING
2026-03-14T02:08:15.789641,1103573,-564,848,16540,171.30,167.99,RUNNING
2026-03-14T02:08:15.889673,1103673,-900,880,16724,176.46,167.99,RUNNING
2026-03-14T02:08:16.001574,1103773,-344,684,16592,173.80,167.99,RUNNING
2026-03-14T02:08:16.089470,1103873,-736,704,16708,165.80,167.99,RUNNING
2026-03-14T02:08:16.189796,1103973,-344,756,16416,190.32,167.99,RUNNING
2026-03-14T02:08:16.289417,1104073,-408,676,16452,162.17,167.99,RUNNING
2026-03-14T02:08:16.389566,1104173,-1108,704,16932,225.12,167.99,RUNNING
2026-03-14T02:08:16.489902,1104273,-928,772,16936,185.29,167.99,RUNNING
2026-03-14T02:08:16.589808,1104373,-892,712,16868,164.97,167.99,RUNNING
2026-03-14T02:08:16.690326,1104473,-220,688,16304,240.86,167.99,RUNNING
2026-03-14T02:08:16.789511,1104573,-196,760,16408,216.72,167.99,RUNNING
2026-03-14T02:08:16.889609,1104673,-524,828,16644,222.00,167.99,RUNNING
2026-03-14T02:08:17.006264,1104773,-264,528,16372,234.27,167.99,RUNNING
2026-03-14T02:08:17.089621,1104873,-604,736,16528,223.20,167.99,RUNNING
2026-03-14T02:08:17.189552,1104973,-332,840,16464,195.02,167.99,RUNNING
2026-03-14T02:08:17.289466,1105073,-304,684,16224,204.47,167.99,RUNNING
2026-03-14T02:08:17.389457,1105173,-936,816,16836,282.95,167.99,RUNNING
2026-03-14T02:08:17.496309,1105273,-980,668,16924,247.10,167.99,RUNNING
2026-03-14T02:08:17.589436,1105373,-1036,596,16912,204.66,167.99,RUNNING
2026-03-14T02:08:17.689605,1105473,-744,804,16800,189.15,167.99,RUNNING
2026-03-14T02:08:17.789543,1105573,-932,736,16552,198.51,167.99,RUNNING
2026-03-14T02:08:17.889475,1105673,-288,836,16508,174.09,167.99,RUNNING
2026-03-14T02:08:18.007678,1105773,-684,696,16600,160.22,167.99,RUNNING
2026-03-14T02:08:18.089281,1105873,-1248,672,17084,223.90,167.99,RUNNING
2026-03-14T02:08:18.189714,1105973,-608,708,16560,283.76,167.99,RUNNING
2026-03-14T02:08:18.289457,1106073,-1200,816,16996,317.56,167.99,RUNNING
2026-03-14T02:08:18.389333,1106173,-488,684,16628,333.95,167.99,RUNNING
2026-03-14T02:08:18.502871,1106273,-796,684,16736,295.38,167.99,RUNNING
2026-03-14T02:08:18.589241,1106373,-900,892,16808,257.84,167.99,RUNNING
2026-03-14T02:08:18.689512,1106473,-752,748,16656,241.30,167.99,RUNNING
2026-03-14T02:08:18.789725,1106573,-776,640,16552,217.16,167.99,RUNNING
2026-03-14T02:08:18.889393,1106673,-616,732,16500,187.94,167.99,RUNNING
2026-03-14T02:08:19.000603,1106773,-1048,760,16780,208.50,167.99,RUNNING
2026-03-14T02:08:19.089166,1106873,-184,584,16428,241.25,167.99,RUNNING
2026-03-14T02:08:19.189608,1106973,-1024,896,16844,280.53,167.99,RUNNING
2026-03-14T02:08:19.289427,1107073,-1144,844,16952,250.31,167.99,RUNNING
2026-03-14T02:08:19.389344,1107173,-792,884,16732,248.00,167.99,RUNNING
2026-03-14T02:08:19.510068,1107273,-1240,792,16904,238.25,167.99,RUNNING
2026-03-14T02:08:19.589410,1107373,-420,724,16520,272.18,205.12,RUNNING
2026-03-14T02:08:19.689314,1107473,-712,716,16788,273.07,205.12,RUNNING
2026-03-14T02:08:19.789600,1107573,-1296,772,16952,260.04,205.12,RUNNING
2026-03-14T02:08:19.889376,1107673,-276,620,16452,312.77,205.12,RUNNING
2026-03-14T02:08:19.992900,1107773,-432,664,16636,290.47,205.12,RUNNING
2026-03-14T02:08:20.089116,1107873,-968,744,16728,259.36,205.12,RUNNING
2026-03-14T02:08:20.189459,1107973,-1028,664,16908,245.03,205.12,RUNNING
2026-03-14T02:08:20.289221,1108073,-788,832,16812,219.14,205.12,RUNNING
2026-03-14T02:08:20.389209,1108173,-312,768,16512,236.97,205.12,RUNNING
2026-03-14T02:08:20.489319,1108273,-480,816,16584,208.40,205.12,RUNNING
2026-03-14T02:08:20.589776,1108373,-1268,780,16912,236.84,205.12,RUNNING
2026-03-14T02:08:20.689094,1108473,-956,788,16856,207.87,205.12,RUNNING
2026-03-14T02:08:20.789149,1108573,-612,552,16508,237.58,205.12,RUNNING
2026-03-14T02:08:20.889292,1108673,-1208,800,16700,236.97,205.12,RUNNING
2026-03-14T02:08:20.989578,1108773,-920,740,16616,213.18,205.12,RUNNING
2026-03-14T02:08:21.089636,1108873,-692,836,16564,185.32,205.12,RUNNING
2026-03-14T02:08:21.189286,1108973,-728,772,16648,166.77,205.12,RUNNING
2026-03-14T02:08:21.289146,1109073,-444,596,16504,165.74,205.12,RUNNING
2026-03-14T02:08:21.389266,1109173,-616,428,16740,178.40,205.12,RUNNING
2026-03-14T02:08:21.495554,1109273,-572,700,16664,158.58,205.12,RUNNING
2026-03-14T02:08:21.589241,1109373,-1012,656,16688,137.78,205.12,RUNNING
2026-03-14T02:08:21.689078,1109473,-412,680,16380,172.78,205.12,RUNNING
2026-03-14T02:08:21.789327,1109573,-496,668,16348,147.10,205.12,RUNNING
2026-03-14T02:08:21.889059,1109673,-856,756,16760,197.97,205.12,RUNNING
2026-03-14T02:08:21.991462,1109773,-1284,672,16920,195.29,205.12,RUNNING
2026-03-14T02:08:22.089036,1109873,-464,692,16756,197.08,205.12,RUNNING
2026-03-14T02:08:22.189274,1109973,-1056,992,16928,199.98,205.12,RUNNING
2026-03-14T02:08:22.289379,1110073,-1152,716,17140,200.65,205.12,RUNNING
2026-03-14T02:08:22.389502,1110173,-1228,676,17024,184.69,205.12,RUNNING
2026-03-14T02:08:22.490859,1110273,-216,660,16336,283.00,205.12,RUNNING
2026-03-14T02:08:22.589051,1110373,-836,704,16744,309.26,205.12,RUNNING
2026-03-14T02:08:22.689298,1110473,-896,644,16712,259.22,205.12,RUNNING
2026-03-14T02:08:22.789295,1110573,-1268,740,17000,269.24,205.12,RUNNING
2026-03-14T02:08:22.889322,1110673,-1068,684,16816,256.69,205.12,RUNNING
2026-03-14T02:08:22.990543,1110773,-1032,696,16916,228.12,205.12,RUNNING
2026-03-14T02:08:23.088982,1110873,-1228,928,17068,218.65,205.12,RUNNING
2026-03-14T02:08:23.189032,1110973,-788,832,16412,302.65,205.12,RUNNING
2026-03-14T02:08:23.289457,1111073,-680,772,16676,294.21,205.12,RUNNING
2026-03-14T02:08:23.389069,1111173,-952,684,16864,276.71,205.12,RUNNING
2026-03-14T02:08:23.490743,1111273,-592,668,16552,286.06,205.12,RUNNING
2026-03-14T02:08:23.588932,1111373,-280,664,16312,279.23,205.12,RUNNING
2026-03-14T02:08:23.688862,1111473,-940,796,16820,325.65,205.12,RUNNING
2026-03-14T02:08:23.789222,1111573,-208,700,16224,379.47,205.12,RUNNING
2026-03-14T02:08:23.889250,1111673,-664,636,16628,385.50,205.12,RUNNING
2026-03-14T02:08:23.989172,1111773,-1232,680,16896,370.31,205.12,RUNNING
2026-03-14T02:08:24.089212,1111873,-1144,848,17060,333.32,205.12,RUNNING
2026-03-14T02:08:24.188971,1111973,-1044,696,16900,304.43,205.12,RUNNING
2026-03-14T02:08:24.289328,1112073,-1304,740,17032,276.88,205.12,RUNNING
2026-03-14T02:08:24.389030,1112173,-848,704,16644,302.17,205.12,RUNNING
2026-03-14T02:08:24.501164,1112273,-328,700,16352,303.62,205.12,RUNNING
