laptop_time_iso,esp_ms,ax,ay,az,motion,state
2026-03-13T22:36:59.158453,244209,-828,1288,16696,71.26,IDLE
2026-03-13T22:36:59.258273,244309,-776,1352,16720,63.19,IDLE
2026-03-13T22:36:59.358378,244409,-844,180,14936,381.50,IDLE
2026-03-13T22:36:59.460036,244509,-376,1868,17116,719.78,IDLE
2026-03-13T22:36:59.558491,244609,-140,1692,16864,639.27,IDLE
2026-03-13T22:36:59.658639,244709,-580,1220,16712,557.09,IDLE
2026-03-13T22:36:59.758606,244809,-832,1324,16684,458.51,IDLE
2026-03-13T22:36:59.858486,244909,-636,1176,16576,398.89,IDLE
2026-03-13T22:36:59.958375,245009,-908,1284,16692,351.58,IDLE
2026-03-13T22:37:00.058665,245109,-708,1304,16688,290.47,IDLE
2026-03-13T22:37:00.158594,245209,-824,1192,16676,240.89,IDLE
2026-03-13T22:37:00.258482,245309,-700,1304,16724,206.62,IDLE
2026-03-13T22:37:00.358135,245409,-604,1304,16692,175.84,IDLE
2026-03-13T22:37:00.460011,245509,-848,1292,16660,148.19,IDLE
2026-03-13T22:37:00.558311,245609,-800,1388,16740,136.81,IDLE
2026-03-13T22:37:00.658454,245709,-900,1248,16820,125.46,IDLE
2026-03-13T22:37:00.758291,245809,-708,1448,16744,115.26,IDLE
2026-03-13T22:37:00.858585,245909,-816,1220,16720,101.19,IDLE
2026-03-13T22:37:00.958209,246009,-808,1248,16636,97.74,IDLE
2026-03-13T22:37:01.058364,246109,-780,1268,16704,92.37,IDLE
2026-03-13T22:37:01.158117,246209,-724,1252,16700,77.13,IDLE
2026-03-13T22:37:01.258325,246309,-800,1268,16852,91.34,IDLE
2026-03-13T22:37:01.358418,246409,-696,1316,16636,113.79,IDLE
2026-03-13T22:37:01.459879,246509,-740,1256,16712,106.44,IDLE
2026-03-13T22:37:01.558330,246609,-828,1240,16804,104.31,IDLE
2026-03-13T22:37:01.658393,246709,-752,1328,16732,97.87,IDLE
2026-03-13T22:37:01.758325,246809,-824,1276,16776,88.03,IDLE
2026-03-13T22:37:01.858297,246909,-684,1264,16776,73.47,IDLE
2026-03-13T22:37:01.958173,247009,-852,1324,16804,67.47,IDLE
2026-03-13T22:37:02.058221,247109,-708,1300,16808,56.15,IDLE
2026-03-13T22:37:02.158359,247209,-848,1244,16752,55.68,IDLE
2026-03-13T22:37:02.258260,247309,-724,1236,16828,58.14,IDLE
2026-03-13T22:37:02.358395,247409,-812,1304,16692,70.41,IDLE
2026-03-13T22:37:02.460039,247509,-804,1272,16784,73.72,IDLE
2026-03-13T22:37:02.558230,247609,-836,1396,16716,70.58,IDLE
2026-03-13T22:37:02.658203,247709,-768,1324,16752,62.70,IDLE
2026-03-13T22:37:02.758297,247809,-852,1284,16832,65.92,IDLE
2026-03-13T22:37:02.858170,247909,-848,1292,16800,59.72,IDLE
2026-03-13T22:37:02.958105,248009,-696,1332,16784,52.53,IDLE
2026-03-13T22:37:03.058293,248109,-868,1352,16668,62.14,IDLE
2026-03-13T22:37:03.158185,248209,-740,1264,16784,69.41,IDLE
2026-03-13T22:37:03.258218,248309,-768,1272,16720,68.06,IDLE
2026-03-13T22:37:03.358277,248409,-768,1332,16744,60.94,IDLE
2026-03-13T22:37:03.459820,248509,-820,1256,16772,54.38,IDLE
2026-03-13T22:37:03.558269,248609,-760,1308,16704,56.58,IDLE
2026-03-13T22:37:03.658366,248709,-828,1344,16728,51.79,IDLE
2026-03-13T22:37:03.758244,248809,-744,1204,16756,44.87,IDLE
2026-03-13T22:37:03.858384,248909,-808,1288,16700,45.18,IDLE
2026-03-13T22:37:03.958135,249009,-788,1308,16764,48.63,IDLE
2026-03-13T22:37:04.058007,249109,-828,1344,16776,42.88,IDLE
2026-03-13T22:37:04.158412,249209,-784,1328,16724,45.09,IDLE
2026-03-13T22:37:04.258209,249309,-804,1252,16696,42.87,IDLE
2026-03-13T22:37:04.358271,249409,-792,1280,16672,39.18,IDLE
2026-03-13T22:37:04.459849,249509,-796,1236,16760,47.35,IDLE
2026-03-13T22:37:04.558049,249609,-744,1292,16716,46.38,IDLE
2026-03-13T22:37:04.658397,249709,-664,1308,16700,41.29,IDLE
2026-03-13T22:37:04.758224,249809,-772,1404,16676,35.92,IDLE
2026-03-13T22:37:04.857987,249909,-860,1268,16760,43.33,IDLE
2026-03-13T22:37:04.958111,250009,-796,1340,16732,40.11,IDLE
2026-03-13T22:37:05.058317,250109,-788,1320,16760,37.56,IDLE
2026-03-13T22:37:05.158276,250209,-740,1264,16740,35.55,IDLE
2026-03-13T22:37:05.258312,250309,-800,1308,16752,32.40,IDLE
2026-03-13T22:37:05.358433,250409,-700,1328,16772,29.64,IDLE
2026-03-13T22:37:05.459724,250509,-940,1204,16736,30.33,IDLE
2026-03-13T22:37:05.558313,250609,-740,1332,16696,32.10,IDLE
2026-03-13T22:37:05.658416,250709,-780,1272,16696,26.84,IDLE
2026-03-13T22:37:05.758198,250809,-788,1220,16756,32.14,IDLE
2026-03-13T22:37:05.858081,250909,-836,1344,16704,33.55,IDLE
2026-03-13T22:37:05.958138,251009,-856,1376,16720,31.03,IDLE
2026-03-13T22:37:06.058137,251109,-680,1328,16696,31.89,IDLE
2026-03-13T22:37:06.158301,251209,-772,1288,16756,37.06,IDLE
2026-03-13T22:37:06.258257,251309,-700,1160,16788,33.89,IDLE
2026-03-13T22:37:06.358360,251409,-720,1048,16712,42.60,IDLE
2026-03-13T22:37:06.459803,251509,-692,1356,16808,55.90,IDLE
2026-03-13T22:37:06.557980,251609,-856,1456,16764,50.87,IDLE
2026-03-13T22:37:06.658253,251709,-764,1240,16884,59.32,IDLE
2026-03-13T22:37:06.758132,251809,-992,1184,16796,63.01,IDLE
2026-03-13T22:37:06.858277,251909,-608,1328,16660,77.41,IDLE
2026-03-13T22:37:06.958060,252009,-536,1312,16512,90.69,IDLE
2026-03-13T22:37:07.058164,252109,-616,1344,16640,98.27,IDLE
2026-03-13T22:37:07.158441,252209,-1028,1212,16924,133.31,IDLE
2026-03-13T22:37:07.258293,252309,-736,1312,16688,153.01,IDLE
2026-03-13T22:37:07.358245,252409,-748,1264,16660,131.06,IDLE
2026-03-13T22:37:07.459795,252509,-836,1368,16784,131.91,IDLE
2026-03-13T22:37:07.558527,252609,-732,1304,16792,108.52,IDLE
2026-03-13T22:37:07.658221,252709,-864,1236,16792,89.19,IDLE
2026-03-13T22:37:07.758088,252809,-772,1240,16896,91.03,IDLE
2026-03-13T22:37:07.858428,252909,-884,1404,16824,84.26,IDLE
2026-03-13T22:37:07.957853,253009,-792,1240,16740,87.29,IDLE
2026-03-13T22:37:08.058512,253109,-1108,1300,16904,104.97,IDLE
2026-03-13T22:37:08.158186,253209,-500,1308,16596,146.40,IDLE
2026-03-13T22:37:08.258223,253309,-768,1288,16656,132.36,IDLE
2026-03-13T22:37:08.358196,253409,-792,1312,16652,108.71,IDLE
2026-03-13T22:37:08.459705,253509,-656,1172,16712,96.98,IDLE
2026-03-13T22:37:08.558274,253609,-968,1344,16908,119.67,IDLE
2026-03-13T22:37:08.658254,253709,-760,1332,16736,131.04,IDLE
